gene_symbol,HealthyLungBiopsy_2,HealthyLungBiopsy_1,COVID19Lung_2,COVID19Lung_1
TCP11L2,28.4154169718769,44.5160947766391,40.1817536335724,0
POLR3B,38.0563620159066,41.6524863407149,0,0
LOC100287944,0,0,0,0
RFX4,19.2818900880593,0,0,0
LOC100505978,0,0,0,0
RIC8B,120.765522130477,130.684675893993,0,0
CRY1,268.424206752194,538.098057914111,348.241864824294,0
BTBD11,2.02967264084835,21.6072272892459,0,0
PWP1,316.12151381213,382.682218255318,267.878357557149,157.398875592076
PRDM4,319.673440933615,419.388471843073,187.514850290005,0
ASCL4,0,0,0,0
LOC728739,1.01483632042417,0.260328039629468,0,0
WSCD2,12.1780358450901,4.9462327529599,0,0
CMKLR1,160.34413862702,55.9705285203357,13.3939178778575,0
FICD,6.08901792254505,49.9829836088579,13.3939178778575,0
SART3,351.133366866765,824.458901506526,535.756715114299,157.398875592076
ISCU,1643.02000276674,700.28242660327,602.726304503586,629.595502368305
TMEM119,236.964280819045,15.8800104173976,0,0
SELPLG,221.23431785247,250.956230202807,26.7878357557149,157.398875592076
CORO1C,1703.91018199219,3531.08952953411,883.998579938593,0
SSH1,1860.19497533751,2625.92893574245,428.605372091439,157.398875592076
DAO,0,0,0,0
SVOP,0,0.260328039629468,0,0
USP30-AS1,22.3263990493318,14.5783702192502,0,157.398875592076
USP30,272.990970194103,60.9167612732956,0,0
ALKBH2,267.916788591982,171.29585007619,80.3635072671448,0
UNG,350.11853054634,89.5528456325371,334.847946946437,0
ACACB,833.180619068248,35.9252694688666,80.3635072671448,0
FOXN4,0,0,0,0
MYO1H,7.61127240318131,6.24787295110724,66.9695893892873,0
KCTD10,1344.15070640182,785.670023601735,93.7574251450023,157.398875592076
UBE3B,389.189728882671,205.138495228021,683.089811770731,157.398875592076
MMAB,278.065151796224,80.4413642455057,0,0
MVK,94.8871959596603,28.6360843592415,0,0
FAM222A,38.0563620159066,12.235417862585,0,0
FAM222A-AS1,2.53709080106044,1.56196823777681,0,0
TRPV4,14.7151266461505,9.89246550591979,0,0
MIR4497,0,0,0,0
GLTP,745.397277351556,420.95044008085,602.726304503586,314.797751184153
TCHP,149.688357262566,73.1521791358806,120.545260900717,157.398875592076
GIT2,346.059185264644,282.976579077232,428.605372091439,0
ANKRD13A,535.833577183964,719.54670153585,870.604662060736,472.196626776229
C12orf76,15.2225448063626,27.5947722007236,0,0
IFT81,52.264070501845,22.9088674873932,0,0
ATP2A2,1463.90139221187,1556.24102090496,2183.20861409077,472.196626776229
ANAPC7,308.510241408949,373.570736868287,53.5756715114299,157.398875592076
ARPC3,2737.52097434421,2262.51099241971,8156.8959876152,4721.96626776229
GPN3,127.869376373446,147.345670430279,0,0
FAM216A,37.0415256954824,53.8879042032999,0,0
VPS29,580.99379344284,411.838958693819,1794.7849956329,472.196626776229
RAD9B,2.53709080106044,13.7973861003618,0,0
PPTC7,116.198758688568,337.64546739942,0,0
TCTN1,119.243267649841,32.801332993313,0,0
HVCN1,73.0682150705406,26.0328039629468,0,157.398875592076
PPP1CC,925.023306066635,1210.00472819777,1031.33167659503,1416.58988032869
CCDC63,2.02967264084835,0,0,0
MYL2,0,0,0,0
CUX2,3.04450896127252,3.38426451518309,0,0
SH2B3,774.320112483645,969.982275659399,482.181043602869,786.994377960382
ATXN2,158.314465986171,431.103233626399,80.3635072671448,0
BRAP,202.967264084835,200.973246593949,241.090521801434,0
ACAD10,87.275923556479,48.94167145034,0,0
ALDH2,4257.23836417941,466.247518976378,830.422908427163,157.398875592076
MAPKAPK5-AS1,228.845590255651,172.076834195079,160.72701453429,0
MAPKAPK5,150.70319358299,143.440749835837,0,0
ADAM1A,28.4154169718769,31.2393647555362,174.120932412147,0
TMEM116,52.7714886620571,39.8301900633086,120.545260900717,0
ERP29,1227.44452955304,403.768789465305,535.756715114299,629.595502368305
NAA25,255.23133458668,426.677656952698,254.484439679292,0
TRAFD1,401.875182887973,478.482936838963,656.301976015016,944.393253552458
HECTD4,247.112644023287,222.059817803936,13.3939178778575,0
RPL6,9813.46721850177,7713.51981422114,5250.41580812013,4249.76964098606
PTPN11,788.527820969584,849.190065271325,575.938468747871,157.398875592076
RPH3A,10.6557813644538,0,160.72701453429,786.994377960382
OAS1,154.762538864687,261.109023748357,26707.4722484478,15582.4886836156
OAS3,157.807047825959,736.988680191025,53133.6722214606,30063.1852380866
OAS2,272.483552033891,901.516001236849,41226.4792280453,29276.1908601262
DTX1,62.9198518662988,25.2518198440584,0,0
RASAL1,6.59643608275714,13.2767300211029,0,0
DDX54,241.023626100742,238.981140379852,93.7574251450023,157.398875592076
IQCD,5.58159976233296,4.16524863407149,0,0
TPCN1,603.827610652384,229.349002913562,26.7878357557149,0
PLBD2,97.9317049209329,66.3836501055144,147.333096656432,472.196626776229
SDS,101.99105020263,439.954386973801,241.090521801434,0
SDSL,92.3501051585999,53.6275761636705,13.3939178778575,0
LHX5,0,0,0,0
RBM19,285.676424199405,573.502671303719,40.1817536335724,0
TBX5,883.922435089456,118.969914110667,133.939178778575,629.595502368305
TBX5-AS1,363.311402711855,39.5698620236792,80.3635072671448,0
TBX3,455.661507870454,584.436448968156,321.454029068579,157.398875592076
MED13L,372.952347755884,389.711075325314,415.211454213582,0
MIR620,0,0,0,0
MIR4472-2,0,0,0,0
LINC00173,18.7744719278472,0.780984118888405,13.3939178778575,0
MAP1LC3B2,6.08901792254505,2.34295235666521,80.3635072671448,0
C12orf49,299.884132685344,239.501796459111,13.3939178778575,157.398875592076
RNFT2,5.07418160212087,1.56196823777681,0,0
HRK,4.0593452816967,0.260328039629468,0,0
FBXW8,62.9198518662988,87.2098932758719,66.9695893892873,314.797751184153
TESC,542.937431426934,52.5862640051526,93.7574251450023,0
FBXO21,390.711983363307,348.839573103487,267.878357557149,0
NOS1,41.6082891373912,7.02885706999564,0,0
KSR2,7.61127240318131,2.86360843592415,0,0
RFC5,89.8130143575395,43.2144545784917,0,0
WSB2,629.7059368232,797.645113424691,857.210744182878,157.398875592076
VSIG10,209.05628200738,66.6439781451439,0,0
PEBP1,3605.71344646709,992.110159027904,857.210744182878,472.196626776229
